Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasantness	Responsibility/Control	Situational Control
Sadness	I felt ... when my mother died. I sat with her as she took her last breath and have never felt pain and ... like it.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when watching the racist behaviour of some football fans outside a railway station.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when I saw a group of homeless people and it was cold outside.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when an online order was delivered and the item was better than expected	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when I didn't hear from an old friend that I messaged to wish a Happy Christmas.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... that my partner's Grandma misses having the company of a cat, and won't consider getting one for fears of what might happen to it after she is gone.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when I lied to my friend and said I was going out but I wasn’t.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my dog died. He was ill for a while. Still miss him.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... after attending the Walt Strony organ concert last Saturday and hearing all the dramatic music.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I received an amazon voucher for a Christmas present - not only was it larger than I had reason to expect, but I now have enough in my gift card balance to buy a fitness tracker.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I feel … when I see politicians grinning at food bank photo opportunities before swanning off in their warm cars to a heated house with a full kitchen of food.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when my current boyfriend asked me to be exclusive with him. I really liked him and was glad he felt the same way and wanted things to go in the same direction.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I feel … because I didn't help my son as much as I could have.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … when as a young hairdresser I was closing up the shop.  My boss came in and was annoyed and angry that I had let my girlfriend into the shop while I was closing up.  We had an altercation over the incident.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when my son showed me his ingrown toenail.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when my father in law asked me if I was ready to accept my daughter back home when she failed to find work in London as a dancer.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Sadness	I felt ... when I discovered I have a health problem that although not too serious will limit my life a little and signifies I am getting old.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when our cats was mauled because the night before we found her I had passed her in the garden she lay in and the ... of that still bothers me, was she alive? Even the fact she was out in the cold all night.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... because I missed seeing my son when he couldn't visit as he wasn't feeling well.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when I heard that people who have homes were imitating the homeless by begging on the streets and earning up to £300 per day.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when a guy kept whatsupping me when I told him I was busy.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I had a fab new years night out with my family and friends.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when my dad had his little toe cut off because of diabetes and I recognised that if I didn't change my lifestyle that could be me and that I was ... of who I was.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when I saw a couple of newborn goats.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt ... when I participated in gossip at work.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I was ... when I found out a close family friend passed away. It was out of the blue so we didn’t know it was going to happen, so it was very sad.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... because I ate the last bit of trifle and denied it when someone didn't have any.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... when I took some cute little miniature tiles from a display in a shop.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … because I was stupid enough to forget to take the notes dispensed from the cash point when I made a withdrawal for £50 and when I realised and went back someone else had taken it.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	The most ... I have experienced was over 10 years ago now at the birth of our daughter. We already had a son and we both were hoping for a daughter but we decided to not know the sex of the child until the birth so we were both overjoyed, as was her brother.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I gave away a gift I didn't like and the person found out	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when I had to have my dog put to sleep.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I was fired from a job for not meeting achievement quotas regularly enough. This was something that made me feel ... as it was something that only happened to me at that time and I felt embarrassed in the context of my colleagues at that workplace.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I felt … when I found a child pooping in my garden - which isn’t accessible to the public. His mother didn’t seem to think he’d done anything wrong and even said I shouldn’t have been watching. It wasn’t even cleaned up. I was left with poop in the middle of my yard by a child, which I had to clean up.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... when I watched a documentary that showed footage of farms of pigs and chickens and as a meat eater I felt awful guilt at how they are treated.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... because I make my parents’ problems worse because my income is minimal and not really enough to support all of us, but neither of them can work. I feel ... because I don’t have enough to get what they need and they get angry about it.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when a dog came barking and growling at me when I was out walking.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when my dad died as it was sudden and he was on his own at the time and I wish I could have been with him.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … because I found quite a lot of hairs on a piece of flat bread I had already bitten into at an Indian meal.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … when found a dead caterpillar in a pre-packed salad.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... because BREXIT has made my country a laughing stock.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when I saw someone mistreating an animal.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... when, as a University student, I went nightclubbing and, having got home, needed cigarettes and decided to drive to the shop at 3am. I shouldn't have done it as I had too much to drink and I felt very guilty about it the next day. Luckily, it hadn't resulted in anything untoward but it was the only time it ever happened.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... because I was unable to attend my son’t concert, because of work commitments.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I feel ... when I watch my football team lose.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when the lady who was my first crush gave me a smile last week.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when my now husband proposed to me.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when a fight broke out in a bar, I was in and had my girlfriend with me and couldn’t think how to get out.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … because a car was driving down the wrong side of the road straight towards my car and I thought we were going to have a serious head on crash.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... because I hadn't called my friend who lost a close friend because I was so busy with my own life that I neglected to think of her.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … during a very heavy thunderstorm.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when I watched a sad film.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when I spoiled a surprise party that was planned for someone that we knew at the time.  I had done this without thinking and the people planing the party showed their displeasure with me.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when my dog licks the ground when something horrible has been there.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... because one of my friends was mistreated by her husband.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt … when I did not stay to do New Year with my parents.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I received recognition at work with a job role change and pay rise.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when I walked down a dark alley.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt … when me and my partner have caught a cold and our friend was expecting us to go to theirs for New Year's Eve and we bailed to stay at home feeling sorry for ourselves! I felt … to let our friends down.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … as a child when I wandered off from my parents in a busy department store.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when my oldest cat had to be put to sleep because an inoperable tumour was found.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when I found the dead mouse behind the outside freezer.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I feel ... when I walk by homeless people on the street.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt ... because my Grandmother, 8 years ago, was in a nursing home and was only given a short time to live as she was very ill. On the day she died, my Mum phoned me to tell me she had gotten worse and to come see her but, I took my time thinking a few hours wouldn't make a difference but, it did and I arrived less than 20 minutes after she passed away. I have felt ... about that ever since as I should have been there, not only to say goodbye but also for my Mum to support her.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when someone I know abandoned their family because they had found a new partner and blamed it all on their ex.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … because the shop I used to work in stored all the damaged fresh meat in a storeroom fridge and I was sent in to clean it out and it was crawling full of maggots.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when I was on a small plane and there was a lot of turbulence.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when I thought I had lost my wallet.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I feel … because I can't stand when people lie.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when I was going upstairs to heat my coffee in the microwave and one of the other students had left a tap on in the upstairs bathroom, thinking that everyone else had moved out for Christmas already. I was extremely … because that would have eventually flooded the rest of the house and destroyed my room downstairs. The bathroom was flooded, and I was afraid that I would be blamed for the incident. The water was beginning to leak into the wood flooring outside the bathroom as well, and I was afraid that it would warp when it dried out. I was extremely … at the damage to the house, and the potential that I could end up in trouble because of all of this. It took hours to clean up, and I was even … because it was crunch time on my projects and I had a deadline the following morning. It was a colossal waste of time and energy both for me and for the Student Village Maintenance workers who had to deal with the water, and I still have no idea what the fallout will be from this situation.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... because at school, I took my friend's book from his backpacks. I was afraid to admit it.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... this morning when I read a story about how sexual abuse examination centres are not doing their job properly, meaning that children who have been abused may not see justice as evidence may be lost due to the time it is taking. It is ... as this shows that vulnerable members of our society are not getting the attention that they need.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when a Christmas present I had bought for someone was greatly appreciated.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … because I was given bad customer service by a store.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when a man jumped on the roof of our van that was parked outside late one evening when we were in bed.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when my bike was stolen after having left it unlocked for all of five minutes in my front garden.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when I was in a high place during a trip.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when watched the new Mary Poppins movie and one of the songs made me think of my dead mum	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I called in sick for work one day when I wasn’t really sick.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when I had each of my children , such a pure feeling after that pain to finally see that bundle in your arms.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when listening to the national news.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I made a mistake at work and somebody else was blamed.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … when I was walking in a large city at night on my own.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when I took my weekly bin in after bin collection to find it crawling with maggots.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when my colleague refused to carry out a work task in a better and more efficient way that I had suggested.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... when I went on holiday and left our cat behind.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … when I went into my back garden and found someone’s cat had been pooping on my lawn and I had to pick up over 10 poops.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt ... because I was a bit late to lead a children's group and it meant someone else was worried.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … when my ex husband managed to access my bank account and withdrew money from it to pay into his own account.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I had my exam results and I had passed my Staff Nurse training.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I failed my ninth year at high school.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I felt … earlier this evening when a car failed to stop at a road junction and nearly hit me on my cycle.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … because we were driving fast in the rain in order to get somewhere before it shut, and the driver was going over the speed limit.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when I realised that there was an outbreak of head lice in my daughter's class. My daughter has hair down to the small of her back, so it's a lot of work to check thoroughly. One kid in the class wasn't checked as her mother had tv to catch it on that night. I'm still raging.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I found out that my ex had been cheating on me and hadn’t had any STI checks or anything. I felt … at the idea that he had cheated on me and that he could’ve passed diseases on to me and didn’t even care.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Guilt	I felt … because some friends were having a get together but didn't want a certain person invited so I had to lie to them where I was going.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt … someone stabbed a man on a train.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Shame	I felt ... when I over-ate on snacks.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when I found out that a good friend of mine had money stolen by a carer.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I was on a ferry in a storm and lots of people were vomiting.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when I was on a flight as I am … of flying.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... attending the New Year Organ Recital at Norwich Cathedral and listening to a varied selection of seasonal music.	0.15	0.46	-0.33	1.46	0.09	-0.21
Disgust	I felt … to read that a  97 year old man had been beaten up and robbed.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt … because I ate a sausage that was horrible.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I feel … because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when I first realised that the UK may not leave the EU with a deal and my … was, and still is, that I may struggle to feed my family if there are shortages/delays and that I slowly need to build a supply of non-perishable goods just in case.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	Ugh, the … that I felt whilst cleaning out the shower drain was unreal. My stomach was churning. Who knew hair conditioner could leave a slimy mess?	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I feel … because the government fails to listen to the people but steams on with its own ideas and plans anyway.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when I was climbing a tall tower.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... that I lied about my employment experience on a job application letter.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Fear	I feel a lot of … to stay alone at home.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when as a teenager, my best friend talked me into going on a rollercoaster where you hang underneath in a seat with your feet free and the coaster went upside down once or twice and I felt intense … as I had a thing about heights as it was. I have been on coasters since and felt uneasy but that time I felt pure …	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... because I haven't been as successful in my life as friends have been.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when I read the news and saw that Donald Trump was, effectively, stopping thousand of workers from working and holding the entire United States hostage so that he can get the funding for his stupid and ludicrous border wall, especially at a time when people living below the poverty line is in the millions and the money would be better spent than on a wall which, in all likelihood, will make no difference.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … when another driver damaged my car but didn't stop to exchange details.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I feel … when I keep seeing reports of airports being shutdown because of stupid morons flying drones too close and I feel … that I live in the same country as these people who have nothing better to do with their time than cause misery to thousands of people and costing companies millions.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when I heard that a celebrity had recently died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Guilt	I felt ... when I walked past some rubbish on a street and should have picked it up and disposed of it - but didn't.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... when my Uncle died last August. While it was expected and it meant he finally wasn't in pain, it was still ..., even more so as I wasn't able to attend his funeral.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt … when a drunk man kept knocking at my door and shouting at me late at night.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt … because I bought two cakes one for me and one for my partner but I ate them both before he got home and didn't tell him I'd bought them.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Sadness	I felt ... because I had a dog in my childhood and he died. I have very much loved my friend and very badly.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when I blamed me for doing nothing.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... because my friend died after a secret battle with breast cancer.  She lied to her friends for 10 years so it was a mixture of ... at her death and that she didn't feel she could share her load so her friends could help.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I saw a homeless person on the street.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... because I copied large sections of an English essay on Gothic literature and neglected to give credit where it was due.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt … when I told friends I was not well to avoid meeting them.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I got to see all my family, especially my little nieces, on Christmas day. I moved away from home a couple of years ago and do not see them very often.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when I'd been working all day and asked my ex husband to pick up a takeaway. He wanted to go to the pub to watch rugby and I said I would pick him up when I got there he was stood outside and had forgotten about the takeaway just bought a kebab for himself.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt … when I saw the profits that were announced by British Gas when there is so much fuel poverty.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when my daughter was getting bullied at school and I thought she was in danger.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... because I was supposed to buy an urgent item for my partner but I forgot and the shops were closed by the time I remembered.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when my daughter did really well in her exams.	0.15	0.46	-0.33	1.46	0.09	-0.21
Guilt	I felt … when I cheated on my husband.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... because my son got a new job which utilised his degree.  He was finally getting his reward for years of study.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt very ... when I passed my driving test on the third attempt. I felt like I would never pass and so I had decided to have one last try and I was so ... to eventually pass it.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when I found out my mum was terminal and I didn't know how I would cope without her.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt … because I did not spend so much in Christmas gifts on my mum's cousin as she spent on me.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Joy	I felt ... when I was able to reunite an elderly relative with her beloved cat which had been missing for a few days.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … when my parents stopped me from following the career path I wanted when I was a teenager because it wasn't a traditional career.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … because my youngest daughter ran off when my other daughter was using a public toilet. I didn't know whether to run after her or stay with my other daughter and was very scared.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I was called into school after an incident at my child's school.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when I heard someone gossip about a friend of mine.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Anger	I felt … because my ex-husband bullied me and my children, and threatened to knock down our house door.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when crossing over a swing bridge that goes over the river Mersey. I have … of deep water.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... when I took a sickie from work because my dog was ill.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Shame	I felt ... when we saw my partner's sister on Boxing Day and had not realized she would be at his parents' place and had bought us gifts. We did not have anything to give her.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I bumped into a neighbour in the supermarket who I usually ignore because she lets her kids run riot but then I felt ... that maybe I was being unnecessarily harsh.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	The last time I felt true … was the last time there was an American school shooting several months ago, mainly because it gets zero traction in terms of restricting gun sales in the States, that the deaths of numerous children is seen as nothing more than a minor side effect of gun ownership.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... because I left family on Christmas day, I miss them.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my aunt rang me last week crying to say her beautiful chihuahua Chelko had gone to Rainbow Bridge. He was old, but I loved him very much and I used to always take care of him and his sister in my house.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt … when I think what the Tories are doing to this country over BREXIT.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... when I'd eventually finished a portrait of a relative's pet dog, and was very satisfied with the likeness I had achieved.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt … because my partner was supposed to have been dealing with important tasks but I found he hadn't done them but watched TV instead.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I found out that my 13 year old son had a girlfriend and that we were going to meet her...he was so happy when telling us the news and if filled me with such ... to see him so happy.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I had to have radiotherapy for breast cancer and I was laid on the table and people kept walking in and out of the room and I felt it should have been more private.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... when I couldn’t visit my mum every day, whilst she was in hospital.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I was walking home alone late at night. I walked by a couple of really drunk guys, they behaved aggressively and I thought they were about to get into a fight. I did not feel 100% safe until I got home.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I saw the first roses blossoming in my garden, they made me ... and proud because I planted them.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … just before I was about to crash into a car on my motorbike.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Sadness	I felt ... when I heard that a dog had been attacked by another larger dog and had died from its injuries.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... when I lost my temper with my son.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt … when someone drove into my car, causing damage and fear to myself - then drove off before exchanging insurance details.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Fear	I felt … when there was something wrong with the car and I had to drive it to the garage and hope it made it there.  Now I'm waiting for the call to tell me the diagnosis and cost.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Anger	I felt … when I found out my mother had been lying to me for years about how my sister had been talking about me. She thought she was doing it for the right reasons, but it all blew up in her face.  She should have been honest.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt … when I couldn’t help at my children’s school fair, because I had to work.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I saw a snake on a path I was walking and I have a bad phobia of them. I froze and felt total ….	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt ... at work by not going upstairs to see if there was washing up that needed doing before I left work.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Anger	I felt … because my computer crashed.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Joy	I felt ... when I rescued a dog at the local shelter and he became my best friend.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when I watched a series on Netflix about a stalker and then got … in the house on my own.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Guilt	I felt … because I forgot to buy Christmas presents for a friend.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Guilt	I felt … when I picked up a coin from the street that I saw someone dropped.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when I walked alone at the night and saw that someone was walking after me.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Fear	I felt … when I went to a haunted house event on Halloween in which we had to walk around a stately home in the dark. There were actors dressed in halloween costume waiting in the dark to scare people as they walked past. At one stage we were required to enter a dark room one at a time and although I knew that they are only actors I felt absolute ….	0.03	-0.73	0.63	-0.44	-0.17	0.59
Disgust	I felt … when my government was behaving like children in parliament.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt … when the car was stolen.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... when my mum won a lot of money on the bingo and she gave me some.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt … when the vehicle I was in got stuck in a ditch in bandit country in South America.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I feel ... because I didn't feel sorry for somebody going through a hard time.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when a supposed friend of mine punched me in the back while I was bent down to tie a shoelace and, without thinking, I spun and punched him in the chest and, luckily, didn't break his fingers though they swelled up. I felt ... that I had reacted like that but it was an instinct to being punched in such a cowardly way.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I looked at my bank statement and saw I would end the year overdrawn again.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I felt … when I had to move my foot quickly to avoid stepping in a pool of vomit.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Anger	I felt … when we lost our cat Willow recently because she was mauled to death by two dogs being taken for a walk by three.....scums of the earth, that made me feel …: how someone could do something so cruel.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Guilt	I felt ... for denying to offer my kids what they demanded of me.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Fear	I felt … when cycling home after a long ride one evening, unaware how dark it had become, and thus relying on some very weak led lights that I'd never tested in complete darkness - I could barely see ten feet ahead of me.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I was about seventeen and went on a long car trip with my boyfriend, he ran out of petrol and neither of us had any money so I had to beg money in a services to try to get enough petrol to get us home.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I was stopped for driving over the limit.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Joy	I felt ... when my daughter got a really good job enabling her to do what she loves best.	0.15	0.46	-0.33	1.46	0.09	-0.21
Shame	I felt ... when I ate  my daughter's burger from McDonald and she was upset after that.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
